片名,总票房,导演,主演,上映时间,片长,制作国家,类型,评分(豆瓣电影)
蜡笔小新：梦境世界大突击,"22350000
"
阿里巴巴所罗门封印,"21208400
"
暗杀游戏,"20980000
"
太空熊猫英雄归来,"20805600
"
一句顶一万句,"20610000
"
废柴特工,"19820000
"
超能太阳鸭,"19794400
"
妄想症,"19192100
"
麦兜·饭宝奇兵,"18940000
"
铠甲勇士捕王,"18570000
"
谎言西西里,"17950000
"
托马斯和朋友们：多多岛之迷失,"17920000
"
宾虚,"17370000
"
灵偶契约,"16860000
"
阿拉丁与神灯,"16840000
"
冒牌卧底,"16720000
"
笨贼别跑,"16275700
"
少年,"15740000
"
极速之巅,"15440000
"
海洋之歌,"15300000
"
宝贝当家,"15100000
"
巴黎危机,"14360000
"
缘份,"13850000
"
惊天绑架团,"13440000
"
谋杀似水年华,"13400000
"
碟仙诡谭2,"12730000
"
请把你的窗户打开,"12430500
"
诺亚方舟漂流记,"12320000
"
我叫MT之山口山战记,"12130000
"
邻家大贱谍,"11880000
"
青蛙总动员,"11610700
"
再见，在也不见,"11470000
"
小明和他的小伙伴们,"11170000
"
发条城市,"11020000
"
在世界中心呼唤爱,"11000000
"
龙珠Z：复活的弗利萨,"10920000
"
筷仙,"10730000
"
我是哪吒,"10081800
"
纽约纽约,"9500000
"
大火种,"9350000
"
床下有人3,"9260000
"
国酒,"9100000
"
洛杉矶捣蛋计划,"8950000
"
泰国妖医,"8710000
"
情况不妙,"8520000
"
果宝特攻之水果大逃亡,"8210000
"
刺猬小子之天生我刺,"8080000
"
魔法老师,"7980000
"
泡沫之夏,"7950000
"
致我们终将到来的爱情,"7950000
"
魔轮,"7830000
"
铁拳,"7680000
"
萤火奇兵,"7640000
"
黑处有什么,"7610000
"
蜜月酒店杀人事件,"7560000
"
泰迪熊之玩具大战,"7374800
"
马小乐之玩具也疯狂,"7330000
"
笔仙诡影,"7320000
"
育婴室,"7250000
"
巴霍巴利王(上),"7220000
"
神兽金刚之青龙再现,"7210000
"
非常父子档,"7031400
"
七月半2：前世今生,"6880000
"
飞鹰艾迪,"6580000
"
红色警戒999,"6550000
"
六弄咖啡馆,"6270000
"
路边野餐,"6200000
"
斗龙战士之星印罗盘,"6140000
"
我在故宫修文物,"6130000
"
绝对控制,"6040000
"
恐怖将映,"5970000
"
惊魂绣花鞋,"5920000
"
猫脸老太太,"5830000
"
最萌身高差,"5510000
"
死亡游戏,"5450000
"
诡娃,"5200000
"
白毛女,"5160000
"
当流星划过天际,"5140000
"
恶灵之门,"5140000
"
笔仙撞碟仙,"5070000
"
超级保镖,"4970000
"
哪一天我们会飞,"4810000
"
幽灵医院,"4800000
"
糖果世界大冒险,"4760000
"
地球四季,"4740000
"
终极硬汉,"4660000
"
我是处女座,"4590000
"
贫穷富爸爸,"4490000
"
恐怖理发店,"4480000
"
张震讲故事之合租屋,"4400000
"
聊斋新编之画皮新娘,"4350000
"
丑小鸭历险记,"4300000
"
掠夺者,"4250000
"
青蛙王国之冰冻大冒险,"4250000
"
魔都凶音,"4080000
"
呆呆计划,"4040000
"
诡新娘,"3880000
"
不速之客,"3870000
"
恐怖禁忌之红旗袍,"3860000
"
水果宝贝之水果总动员,"3820000
"
死亡笔记,"3640000
"
龙拳小子,"3580000
"
记忆碎片,"3540000
"
古曼,"3470000
"
荒村凶间,"3250000
"
箭士柳白猿,"3240000
"
老阿姨,"3220000
"
食人岛,"3190000
"
少年巴比伦,"3090000
"
诡梦凶铃,"3030000
"
我们毕业啦,"2850000
"
长江图,"2770000
"
恭喜发财之谈钱说爱,"2760000
"
我不是王毛,"2630000
"
反黑行动组,"2530000
"
辛巴达与美人鱼公主,"2459900
"
234说爱你,"2440000
"
功夫四侠,"2430000
"
夺路而逃,"2430000
"
花样厨神,"2380000
"
新木偶奇遇记,"2367600
"
催命符,"2320000
"
一家老小向前冲,"2320000
"
半熟少女,"2290000
"
失眠男女,"2200000
"
北极大冒险,"2160000
"
夜半哭声,"2160000
"
枕边有张脸2,"2110000
"
夏威夷之恋,"2090000
"
凶手还未睡,"2070000
"
黑海夺金,"2030000
"
恐怖笔记,"2020000
"
怨灵地下室,"2000000
"
近在咫尺的爱恋,"1950000
"
江南灵异录之白云桥,"1920000
"
舌尖上的新年,"1910000
"
钢铁骑士,"1870000
"
凄灵室,"1770000
"
遵义会议,"1770000
"
夺命枪火,"1750000
"
辣警霸王花,"1740000
"
白雪公主和三只小猪,"1710000
"
喜乐长安,"1600000
"
生门,"1508300
"
你好，疯子！,"1490000
"
五女闹京城,"1450000
"
古曼怨灵,"1440000
"
动植物大战,"1440000
"
轩辕大帝,"1430000
"
脑残粉,"1400000
"
我老婆是明星,"1380000
"
怨相,"1330000
"
我的老婆是明星,"1280000
"
少年师爷之大禹宝藏,"1270000
"
超级幼儿园,"1210000
"
同城邂逅,"1180000
"
诡眼,"1140000
"
南口1937,"1140000
"
恐怖照相机,"1130000
"
古田会议,"1120000
"
致命怪谈,"1120000
"
判我有罪,"1100000
"
小蚂蚁之环球大冒险,"1080000
"
爱在深秋,"1030000
"
午夜寻访录,"1020000
"
隔壁惊魂,"1010000
"
恋爱教父之三个坏家伙,"1000000
"
塔洛,"920000
"
爸爸的3次婚礼,"880000
"
猿创世界之熊孩子部落,"850000
"
谎言大爆炸,"810000
"
笑林足球,"800000
"
党的女儿尹灵芝,"740000
"
幸运是我,"690000
"
终极胜利,"680000
"
不朽的时光,"680000
"
喊·山,"660000
"
恐怖爱情故事之死亡公路,"660000
"
皇帝的新装之圣诞大明星,"660000
"
击战,"650000
"
一条叫王子的狗,"620000
"
盛先生的花儿,"570000
"
国家利益,"560000
"
爱在星空下,"550000
"
催命符之劫后重生,"540000
"
海洋之恋,"530000
"
寻找心中的你,"530000
"
云镝：丝路英雄,"520000
"
我的圣途,"510000
"
奇葩追梦,"470000
"
小魔仙之黑魔法来袭,"470000
"
回乡逗儿,"440000
"
爱神箭,"430000
"
708090之深圳恋歌,"410000
"
异性合租的往事,"380000
"
别开门,"380000
"
爱上试睡师,"360000
"
失心者,"350000
"
绝战,"350000
"
热血雷锋侠之激情营救,"340000
"
逗逗迪迪之美梦年年,"330000
"
不离不弃,"320000
"
男神抱抱,"310000
"
当我们年轻的时候,"300000
"
减法人生,"290000
"
狼兵吼,"290000
"
狱中惊魂,"280000
"
为爱放手,"270000
"
再生之乐,"250000
"
越囧,"240000
"
购物女王,"240000
"
练胆儿,"230000
"
冬,"220000
"
新东方神娃,"200000
"
吉祥宝宝之我是食神,"200000
"
女神时代,"200000
"
山那边有匹马,"180000
"
灯塔下的恋人,"170000
"
爸爸我来救你了之吉大嘿梦,"170000
"
有迹可循,"160000
"
夜魔人,"160000
"
咸鱼传奇,"150000
"
我的1000万,"150000
"
人鱼校花,"140000
"
沙漠之心,"140000
"
杠上开花,"140000
"
那年我对你的承诺,"140000
"
提款机,"140000
"
毒中毒,"130000
"
小熊的夏天,"120000
"
凤凰谷,"120000
"
