片名,总票房,导演,主演,上映时间,片长,制作国家,类型,评分(豆瓣电影)
源·彩虹,,Norman Stone Gary Mak,薇洛·西尔德斯 玛莉亚·嘉西亚·古欣娜塔 Emmett Skilton,2019-04-05,1小时28分钟,中国 英国,动作 儿童 奇幻,6.7
雪暴,,崔斯韦,张震 倪妮 廖凡,2019-04-30,1小时52分钟,中国,动作 悬疑 犯罪,8.4
欲念游戏,,郭涛,郭涛 张子枫 姜潮,2019-04-12,1小时49分钟,中国,悬疑 剧情,5.9
守灵,,李东,张优 宋词,2019-04-04,1小时28分钟,中国,惊悚,5.0
在乎你,,毕国智,俞飞鸿 大泽隆夫 木下彩音,2019-04-12,2小时,中国 日本,爱情,6.3
撞死了一只羊,,万玛才旦,金巴 更登彭措 索朗旺姆,2019-04-26,1小时26分钟,中国,剧情,7.5
祈祷落幕时,,福泽克雄,阿部宽 松岛菜菜子 沟端淳平,2019-04-12,1小时59分钟,日本,剧情,8.0
境·界,,佐藤信介,福士苍汰 杉咲花 吉泽亮,2019-04-19,1小时48分钟,日本,动作 冒险 奇幻,5.3
功夫四侠：勇闯地宫,,李金保,王琪 王雪沁 吴凡,2019-04-05,1小时20分钟,中国,动画 儿童 冒险,6.7
海门深处,,李永超,王梓权 杨玥 陈木易,2019-04-27,1小时44分钟,中国,剧情,5.9
毕业旅行之逍遥骑士,,郭奎永,安紫依 田雨 张朔祯,2019-04-19,1小时30分钟,中国,喜剧,6.7
反贪风暴4,,林德禄,古天乐 郑嘉颖 林峯,2019-04-04,1小时38分钟,中国 中国香港,动作 犯罪,8.0
远去的牧歌,,阿迪夏·夏热合曼 周军,海拉提·哈木 玛尔江·巴依吐肯 丽娜·夏侃,2019-04-12,1小时34分钟,中国,剧情 西部 冒险,8.0
原来如此,,廖必翔,池丹 徐志飞 杨燕,2019-04-12,1小时23分钟,中国,悬疑 惊悚,5.0
云雾笼罩的山峰,,左志国,王海涛 任青安 丁建钧,2019-04-26,1小时31分钟,中国,悬疑 剧情 犯罪,6.0
最佳男友进化论,,林子聪,郑恺 张雨绮 徐冬冬,2019-04-12,1小时36分钟,中国香港,爱情 喜剧,5.2
动物出击,,冯小宁,景熙童 宝德 冯薇朵,2019-04-30,1小时45分钟,中国,科幻 儿童 冒险,7.3
北斗风云,,马玉辉 魏子千,潘虹 魏子千 孔琳,2019-04-19,1小时37分钟,中国,悬疑 战争 动作,6.7
暗语者,,韩万峰,罗立群 高赫一 金琦茗,2019-04-12,1小时39分钟,中国,剧情 动作 喜剧,7.9
调音师,,斯里兰姆·拉格万,阿尤斯曼·库拉纳 塔布 拉迪卡·阿普特,2019-04-03,2小时19分钟,印度,悬疑 犯罪 喜剧,8.0
狗眼看人心,,吴楠,黄磊 闫妮 韩童生,2019-04-20,1小时31分钟,中国,剧情 喜剧 家庭,6.7
难以置信,,陆小雅,吴超 宋佳伦 周也,2019-04-11,1小时35分钟,中国,剧情,6.7
我叫为何,,李小军,卜钰 许君聪 那威,2019-04-18,1小时28分钟,中国,喜剧 爱情,6.7
HELLO，北京,,万剑英,老锣 江森海 韩杰,2019-04-19,1小时30分钟,中国,纪录,6.7
海风吹过零丁洋,,杨涧华,姜华 刘笛 李天祥,2019-04-12,1小时35分钟,中国,剧情,5.0
昆仑兄弟,,阿不都克力木·阿不力孜,,2019-04-26,1小时33分钟,中国,剧情,6.7
岭上花开,,赵艺凡,易莉 王坚定 李飞,2019-04-19,1小时22分钟,中国,剧情,6.7
我在社区当片儿警,,左启泽,左启泽 侯培杰 黄世伟,2019-04-26,1小时28分钟,中国,喜剧,6.7
武陵山上的星光,,张塞君,范浩军 姜琳 王树风,2019-05-18,1小时42分钟,中国,剧情,5.6
进京城,,胡玫,焦晃 富大龙 马伊琍,2019-05-10,1小时53分钟,中国,剧情 历史 古装,6.2
大大哒,,周青元,容璇雯 温慧茵 狄妃,2019-05-24,1小时41分钟,马来西亚,喜剧,5.2
哥斯拉2：怪兽之王,,迈克尔·道赫蒂,凯尔·钱德勒 布拉德利·威特福德 维拉·法米加,2019-05-31,2小时12分钟,美国 日本,动作 科幻 冒险,6.9
海蒂和爷爷,,阿兰·葛斯彭纳 穆罕默德·本阿提亚,阿努克·斯特芬 安娜·申斯 Sabah Bouzouita,2019-05-16,1小时51分钟,德国 比利时,家庭 剧情,8.3
双生,,金振成,陈都灵 刘昊然 赵芮,2019-05-18,1小时22分钟,中国,悬疑 青春,5.7
